DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:41:58.376,680,0,20210105 02:41:58.376,1.22682,1.22678,1.2268,1.226805,1.226077,1.226803,,,,,0,,,,,,,,
2021-01-05 02:41:58.477,681,0,20210105 02:41:58.477,1.22681,1.22678,1.226795,1.226804,1.226077,1.226804,,,,1.226795,0,,,,,,,,
2021-01-05 02:42:00.282,682,0,20210105 02:42:00.282,1.2268,1.22676,1.22678,1.226803,1.226077,1.226804,1.22678,,,,0,,,,,,,,
2021-01-05 02:42:00.384,683,0,20210105 02:42:00.384,1.22679,1.22676,1.226775,1.226801,1.226077,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:00.485,684,0,20210105 02:42:00.485,1.22679,1.22675,1.22677,1.2268,1.226078,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:00.587,685,0,20210105 02:42:00.587,1.22679,1.22676,1.226775,1.226798,1.226078,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:02.599,686,0,20210105 02:42:02.599,1.2268,1.22676,1.22678,1.226797,1.226078,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:03.152,687,0,20210105 02:42:03.152,1.22679,1.22676,1.226775,1.226796,1.226079,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:03.306,688,0,20210105 02:42:03.306,1.2268,1.22676,1.22678,1.226795,1.226079,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:04.229,689,0,20210105 02:42:04.229,1.22681,1.22676,1.226785,1.226794,1.226079,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:04.332,690,0,20210105 02:42:04.332,1.22681,1.22677,1.22679,1.226794,1.22608,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:04.991,691,0,20210105 02:42:04.991,1.22682,1.22677,1.226795,1.226794,1.22608,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:05.093,692,0,20210105 02:42:05.093,1.22682,1.22678,1.2268,1.226794,1.22608,1.226805,,1.2268,,,0,,,,,,,,
2021-01-05 02:42:07.731,693,0,20210105 02:42:07.731,1.22682,1.22677,1.226795,1.226794,1.226081,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:07.834,694,0,20210105 02:42:07.834,1.2268,1.22678,1.22679,1.226793,1.226081,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:07.936,695,0,20210105 02:42:07.936,1.22681,1.22676,1.226785,1.226793,1.226081,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:07.988,696,0,20210105 02:42:07.988,1.22679,1.22676,1.226775,1.226792,1.226082,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:08.142,697,0,20210105 02:42:08.142,1.22678,1.22675,1.226765,1.226791,1.226082,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:08.245,698,0,20210105 02:42:08.245,1.22677,1.22674,1.226755,1.22679,1.226082,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:08.555,699,0,20210105 02:42:08.555,1.22678,1.22674,1.22676,1.226789,1.226083,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:14.446,700,0,20210105 02:42:14.446,1.22679,1.22674,1.226765,1.226788,1.226083,1.226805,,,,,0,,,,,,,,
